factory_method,allocation_method,layer_count,routing_algorithm,Total Time
Ignore,Topology,,,522
outer,naive,1,CareKinkParity,870
outer,naive,2,CareKinkParity,813
outer,random,1,CareKinkParity,611
outer,random,2,CareKinkParity,544
outer,SA,1,CareKinkParity,528
outer,SA,2,CareKinkParity,541
inner,naive,1,CareKinkParity,870
inner,naive,2,CareKinkParity,813
inner,random,1,CareKinkParity,607
inner,random,2,CareKinkParity,547
inner,SA,1,CareKinkParity,528
inner,SA,2,CareKinkParity,539
