factory_method,allocation_method,layer_count,routing_algorithm,Total Time
Ignore,Topology,,,198
outer,naive,1,CareKinkParity,323
outer,naive,2,CareKinkParity,238
outer,random,1,CareKinkParity,209
outer,random,2,CareKinkParity,203
outer,SA,1,CareKinkParity,200
outer,SA,2,CareKinkParity,199
inner,naive,1,CareKinkParity,323
inner,naive,2,CareKinkParity,238
inner,random,1,CareKinkParity,207
inner,random,2,CareKinkParity,203
inner,SA,1,CareKinkParity,200
inner,SA,2,CareKinkParity,199
