factory_method,allocation_method,layer_count,routing_algorithm,Total Time
Ignore,Topology,,,193
outer,naive,1,CareKinkParity,701
outer,naive,2,CareKinkParity,599
outer,random,1,CareKinkParity,433
outer,random,2,CareKinkParity,296
outer,SA,1,CareKinkParity,424
outer,SA,2,CareKinkParity,297
inner,naive,1,CareKinkParity,701
inner,naive,2,CareKinkParity,599
inner,random,1,CareKinkParity,412
inner,random,2,CareKinkParity,269
inner,SA,1,CareKinkParity,415
inner,SA,2,CareKinkParity,283
