circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Double,No_Top,295,423712
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Double,No_MP,181,423930
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Double,No_Kink,296,793591
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Double,Yes_Kink,299,799285
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Proj.,No_MSF,108,184480
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Proj.,No_Top,287,413216
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Proj.,No_MP,131,612833
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Proj.,No_Kink,413,1639960
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,6,Proj.,Yes_Kink,411,1644659
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Single,No_MSF,4079,591856
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Single,No_Top,4079,587376
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Single,No_MP,4079,633856
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Single,No_Kink,4080,682838
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Double,No_MSF,3792,550528
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Double,No_Top,3792,546048
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Double,No_MP,3793,600194
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Double,No_Kink,3798,655168
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Double,Yes_Kink,3804,654675
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Proj.,No_MSF,3333,484432
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Proj.,No_Top,3333,479952
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Proj.,No_MP,3334,1576638
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Proj.,No_Kink,3345,1733486
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,inner,1,SA,0.001,0,Proj.,Yes_Kink,3385,1751616
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Single,No_MSF,4079,600816
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Single,No_Top,4080,596480
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Single,No_MP,4079,702726
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Single,No_Kink,4081,736914
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Double,No_MSF,3792,559488
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Double,No_Top,3793,555152
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Double,No_MP,3793,665393
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Double,No_Kink,3794,700845
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Double,Yes_Kink,3795,699575
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Proj.,No_MSF,3333,493392
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Proj.,No_Top,3333,488912
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Proj.,No_MP,3338,1549588
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Proj.,No_Kink,3341,1770163
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1,outer,1,random,0.0,2,Proj.,Yes_Kink,3345,1760113
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4,outer,1,SA,1.0,2,Single,No_MSF,571,261360
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4,outer,1,SA,1.0,2,Single,No_Top,571,256464
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4,outer,1,SA,1.0,2,Single,No_MP,571,316224
