circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0,Proj,No_Kink,975,410113
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0,Double,Yes_Kink,967,311860
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Double,No_Kink,980,284385
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0,Proj,Yes_Kink,985,399207
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_Kink,1036,266363
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_Kink,890,238551
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Double,Yes_Kink,1002,292451
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_Kink,1009,415396
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,Yes_Kink,896,251383
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,Yes_Kink,1038,399797
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,Yes_Kink,904,255000
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Double,No_Top,885,125440
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,No_Kink,893,250096
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Double,No_Kink,890,226807
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Proj,No_Top,855,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Single,No_Top,887,125690
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Double,Yes_Kink,895,234007
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.1,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Single,No_Kink,893,234207
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Proj,No_Kink,925,538274
