circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0,Double,No_Kink,691,265505
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Double,No_Top,600,96941
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,naive,0,Single,No_Kink,715,230334
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_Top,570,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Double,No_Kink,717,243112
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_Top,607,97678
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_MSF,315,18346
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_Top,600,96941
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Double,Yes_Kink,739,247284
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Double,No_Kink,606,213805
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Single,No_Kink,773,223848
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,Yes_Kink,757,305496
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,1,random,0,Proj,No_Kink,726,311896
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Proj,No_MSF,246,4428
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,No_MSF,318,18630
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Proj,No_Top,570,54588
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.001,Single,No_Top,607,97678
result_trotter_10_Heisenberg2D_cylinder_0.5_0.5_det,inner,2,SA,0.01,Double,No_Top,600,96941
