                                                    | Single No Top (2D RND) | Single No Kink (2D RND) | Proj No Top (2D RND) | Proj No Kink (2D RND) | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Single No Top (2D SA) | Single No Kink (2D SA) | Proj No Top (2D SA) | Proj No Kink (2D SA) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Single No Top (2.5D RND) | Single No Kink (2.5D RND) | Single Yes Kink (2.5D RND) | Proj No Top (2.5D RND) | Proj No Kink (2.5D RND) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Single No Top (2.5D SA) | Single No Kink (2.5D SA) | Single Yes Kink (2.5D SA) | Proj No Top (2.5D SA) | Proj No Kink (2.5D SA) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA)
         result_SELECT_10_Heisenberg1D_OBC_1_0_5.in |                     60 |                     135 |                   16 |                    70 |                     42 |                      93 |                      103 |                              101 |                    60 |                     62 |                  16 |                   27 |                    42 |                     44 |                      55 |                              53 |                       60 |                        79 |                         81 |                     16 |                      47 |                       42 |                        64 |                         72 |                                 79 |                      60 |                       60 |                        65 |                    16 |                     25 |                      42 |                       42 |                        55 |                                57
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |                   5022 |                    5022 |                 4440 |                  4442 |                   4458 |                    4458 |                     4746 |                             4746 |                  5022 |                   5022 |                4440 |                 4441 |                  4458 |                   4458 |                    4767 |                            4767 |                     5022 |                      5022 |                       5022 |                   4440 |                    4442 |                     4458 |                      4458 |                       5023 |                               5024 |                    5022 |                     5022 |                      5022 |                  4440 |                   4440 |                    4458 |                     4458 |                      4746 |                              4747
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |                   2527 |                    2532 |                 2221 |                  2224 |                   2239 |                    2240 |                     2394 |                             2409 |                  2527 |                   2533 |                2221 |                 2224 |                  2239 |                   2245 |                    2531 |                            2532 |                     2527 |                      2527 |                       2529 |                   2221 |                    2224 |                     2239 |                      2241 |                       2524 |                               2549 |                    2527 |                     2527 |                      2528 |                  2221 |                   2223 |                    2239 |                     2239 |                      2388 |                              2399
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |                   1283 |                    1354 |                 1112 |                  1120 |                   1132 |                    1139 |                     1262 |                             1302 |                  1283 |                   1285 |                1112 |                 1115 |                  1132 |                   1132 |                    1263 |                            1263 |                     1283 |                      1283 |                       1285 |                   1112 |                    1117 |                     1132 |                      1133 |                       1221 |                               1349 |                    1283 |                     1283 |                      1283 |                  1112 |                   1114 |                    1132 |                     1133 |                      1216 |                              1231
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |                    662 |                     889 |                  557 |                   574 |                    579 |                     641 |                      731 |                              756 |                   662 |                    663 |                 557 |                  563 |                   579 |                    581 |                     656 |                             659 |                      662 |                       668 |                        679 |                    557 |                     569 |                      579 |                       585 |                        659 |                                777 |                     662 |                      662 |                       663 |                   557 |                    560 |                     579 |                      579 |                       629 |                               663
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |                    354 |                     689 |                  280 |                   363 |                    305 |                     465 |                      486 |                              490 |                   354 |                    359 |                 280 |                  287 |                   305 |                    307 |                     348 |                             350 |                      354 |                       372 |                        382 |                    280 |                     302 |                      305 |                       320 |                        376 |                                468 |                     354 |                      354 |                       358 |                   280 |                    288 |                     305 |                      306 |                       335 |                               336
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5.in |                    206 |                     608 |                  141 |                   282 |                    169 |                     389 |                      397 |                              400 |                   206 |                    212 |                 141 |                  153 |                   169 |                    173 |                     198 |                             199 |                      206 |                       277 |                        295 |                    141 |                     203 |                      169 |                       241 |                        261 |                                310 |                     206 |                      206 |                       210 |                   141 |                    150 |                     169 |                      169 |                       202 |                               207
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6.in |                    137 |                     562 |                   72 |                   237 |                    103 |                     337 |                      340 |                              342 |                   137 |                    145 |                  72 |                   88 |                   103 |                    108 |                     133 |                             137 |                      137 |                       243 |                        251 |                     72 |                     169 |                      103 |                       206 |                        220 |                                233 |                     137 |                      138 |                       141 |                    72 |                     83 |                     103 |                      105 |                       132 |                               134
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_0.in |                  20012 |                   20012 |                17760 |                 17760 |                  17782 |                   17782 |                    18905 |                            18905 |                 20012 |                  20012 |               17760 |                17761 |                 17782 |                  17782 |                   18904 |                           18904 |                    20012 |                     20012 |                      20012 |                  17760 |                   17760 |                    17782 |                     17782 |                      18923 |                              18992 |                   20012 |                    20012 |                     20012 |                 17760 |                  17760 |                   17782 |                    17782 |                     18907 |                             18907
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_1.in |                  10024 |                   10027 |                 8880 |                  8885 |                   8902 |                    8903 |                     9470 |                             9491 |                 10024 |                  10024 |                8880 |                 8884 |                  8902 |                   8902 |                    9490 |                            9485 |                    10024 |                     10024 |                      10025 |                   8880 |                    8883 |                     8902 |                      8902 |                       9587 |                               9747 |                   10024 |                    10024 |                     10024 |                  8880 |                   8881 |                    8902 |                     8904 |                      9478 |                             10300
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_2.in |                   5033 |                    5141 |                 4440 |                  4449 |                   4464 |                    4465 |                     4809 |                             4853 |                  5033 |                   5034 |                4440 |                 4444 |                  4464 |                   4476 |                    4802 |                            4810 |                     5033 |                      5033 |                       5037 |                   4440 |                    4445 |                     4464 |                      4467 |                       5072 |                               5542 |                    5033 |                     5033 |                      5036 |                  4440 |                   4444 |                    4464 |                     4464 |                      4787 |                              4797
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_3.in |                   2539 |                    3030 |                 2221 |                  2236 |                   2247 |                    2278 |                     2547 |                             2623 |                  2539 |                   2544 |                2221 |                 2228 |                  2247 |                   2247 |                    2555 |                            2556 |                     2539 |                      2545 |                       2558 |                   2221 |                    2231 |                     2247 |                      2251 |                       2724 |                               2963 |                    2539 |                     2539 |                      2540 |                  2221 |                   2224 |                    2247 |                     2247 |                      2433 |                              2653
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_4.in |                   1296 |                    2408 |                 1112 |                  1195 |                   1141 |                    1499 |                     1601 |                             1619 |                  1296 |                   1304 |                1112 |                 1119 |                  1141 |                   1144 |                    1257 |                            1259 |                     1296 |                      1325 |                       1373 |                   1112 |                    1129 |                     1141 |                      1166 |                       1381 |                               1702 |                    1296 |                     1300 |                      1300 |                  1112 |                   1118 |                    1141 |                     1142 |                      1232 |                              1253
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_5.in |                    678 |                    1966 |                  557 |                   819 |                    589 |                    1179 |                     1186 |                             1178 |                   678 |                    699 |                 557 |                  568 |                   589 |                    596 |                     660 |                             667 |                      678 |                       852 |                        878 |                    557 |                     648 |                      589 |                       726 |                        848 |                               1084 |                     678 |                      679 |                       685 |                   557 |                    566 |                     589 |                      591 |                       703 |                               702
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_6.in |                    374 |                    1762 |                  280 |                   687 |                    315 |                     984 |                      994 |                              990 |                   374 |                    402 |                 280 |                  300 |                   315 |                    327 |                     383 |                             377 |                      374 |                       667 |                        688 |                    280 |                     481 |                      315 |                       570 |                        591 |                                750 |                     374 |                      377 |                       391 |                   280 |                    292 |                     315 |                      328 |                       377 |                               389
            result_SELECT_10_Schwinger_OBC_0_0_0.in |                    291 |                     291 |                  244 |                   248 |                    254 |                     254 |                      277 |                              277 |                   291 |                    291 |                 244 |                  245 |                   254 |                    254 |                     277 |                             277 |                      291 |                       291 |                        291 |                    244 |                     244 |                      254 |                       254 |                        274 |                                274 |                     291 |                      291 |                       291 |                   244 |                    244 |                     254 |                      254 |                       277 |                               277
            result_SELECT_10_Schwinger_OBC_0_0_1.in |                    155 |                     157 |                  124 |                   128 |                    133 |                     133 |                      152 |                              153 |                   155 |                    155 |                 124 |                  125 |                   133 |                    133 |                     147 |                             147 |                      155 |                       155 |                        157 |                    124 |                     125 |                      133 |                       133 |                        154 |                                156 |                     155 |                      155 |                       155 |                   124 |                    125 |                     133 |                      133 |                       148 |                               148
            result_SELECT_10_Schwinger_OBC_0_0_2.in |                     88 |                      90 |                   62 |                    69 |                     72 |                      74 |                       87 |                               92 |                    88 |                     88 |                  62 |                   63 |                    72 |                     74 |                      83 |                              83 |                       88 |                        88 |                         90 |                     62 |                      68 |                       72 |                        73 |                         87 |                                 96 |                      88 |                       88 |                        90 |                    62 |                     65 |                      72 |                       72 |                        82 |                                82
            result_SELECT_10_Schwinger_OBC_0_0_3.in |                     58 |                      79 |                   32 |                    49 |                     43 |                      60 |                       67 |                               70 |                    58 |                     58 |                  32 |                   36 |                    43 |                     44 |                      53 |                              54 |                       58 |                        59 |                         60 |                     32 |                      41 |                       43 |                        47 |                         57 |                                 64 |                      58 |                       59 |                        59 |                    32 |                     34 |                      43 |                       43 |                        56 |                                57
            result_SELECT_10_Schwinger_OBC_0_0_4.in |                     50 |                      80 |                   16 |                    47 |                     33 |                      59 |                       65 |                               65 |                    50 |                     51 |                  16 |                   27 |                    33 |                     35 |                      43 |                              45 |                       50 |                        54 |                         59 |                     16 |                      35 |                       33 |                        43 |                         56 |                                 56 |                      50 |                       50 |                        51 |                    16 |                     24 |                      33 |                       33 |                        43 |                                44
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_0.in |                   1422 |                    1422 |                 1200 |                  1200 |                   1264 |                    1264 |                     1352 |                             1367 |                  1422 |                   1422 |                1200 |                 1200 |                  1264 |                   1264 |                    1373 |                            1373 |                     1422 |                      1422 |                       1422 |                   1200 |                    1201 |                     1264 |                      1264 |                       1373 |                               1373 |                    1422 |                     1422 |                      1422 |                  1200 |                   1200 |                    1264 |                     1264 |                      1375 |                              1374
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_1.in |                    822 |                     822 |                  750 |                   751 |                    776 |                     777 |                      805 |                              800 |                   822 |                    822 |                 750 |                  750 |                   776 |                    776 |                     814 |                             814 |                      822 |                       822 |                        822 |                    750 |                     750 |                      776 |                       776 |                        823 |                                841 |                     822 |                      822 |                       823 |                   750 |                    750 |                     776 |                      776 |                       811 |                               811
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_2.in |                    476 |                     477 |                  451 |                   458 |                    465 |                     467 |                      476 |                              479 |                   476 |                    476 |                 451 |                  452 |                   465 |                    466 |                     476 |                             479 |                      476 |                       476 |                        476 |                    451 |                     455 |                      465 |                       467 |                        478 |                                501 |                     476 |                      476 |                       476 |                   451 |                    452 |                     465 |                      465 |                       474 |                               474
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_3.in |                    255 |                     261 |                  224 |                   235 |                    240 |                     245 |                      259 |                              264 |                   255 |                    255 |                 224 |                  225 |                   240 |                    240 |                     252 |                             252 |                      255 |                       255 |                        257 |                    224 |                     231 |                      240 |                       242 |                        258 |                                267 |                     255 |                      255 |                       256 |                   224 |                    227 |                     240 |                      240 |                       254 |                               256
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_4.in |                    146 |                     231 |                  115 |                   133 |                    134 |                     149 |                      161 |                              164 |                   146 |                    146 |                 115 |                  116 |                   134 |                    135 |                     143 |                             143 |                      146 |                       148 |                        149 |                    115 |                     127 |                      134 |                       136 |                        153 |                                185 |                     146 |                      146 |                       146 |                   115 |                    117 |                     134 |                      134 |                       146 |                               146
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_5.in |                    102 |                     225 |                   56 |                   105 |                     78 |                     148 |                      153 |                              156 |                   102 |                    103 |                  56 |                   62 |                    78 |                     79 |                      91 |                              93 |                      102 |                       116 |                        120 |                     56 |                      80 |                       78 |                        94 |                        111 |                                137 |                     102 |                      102 |                       102 |                    56 |                     62 |                      78 |                       79 |                        92 |                                94
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_6.in |                     74 |                     258 |                   31 |                   112 |                     54 |                     156 |                      163 |                              161 |                    74 |                     84 |                  31 |                   40 |                    54 |                     59 |                      69 |                              70 |                       74 |                       120 |                        123 |                     31 |                      76 |                       54 |                       101 |                        111 |                                114 |                      74 |                       75 |                        77 |                    31 |                     40 |                      54 |                       54 |                        67 |                                69
