                                                    | Single No MSF (1 outer random) | Single No Top (1 outer random) | Single No Kink (1 outer random) | Proj No MSF (1 outer random) | Proj No Top (1 outer random) | Proj No Kink (1 outer random) | Proj Yes Kink (1 outer random) | Double No MSF (1 outer random) | Double No Top (1 outer random) | Double No Kink (1 outer random) | Double Yes Kink (1 outer random) | Single No MSF (1 outer SA) | Single No Top (1 outer SA) | Single No Kink (1 outer SA) | Proj No MSF (1 outer SA) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double No MSF (1 outer SA) | Double No Top (1 outer SA) | Double No Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No MSF (1 outer naive) | Single No Top (1 outer naive) | Single No Kink (1 outer naive) | Proj No MSF (1 outer naive) | Proj No Top (1 outer naive) | Proj No Kink (1 outer naive) | Proj Yes Kink (1 outer naive) | Double No MSF (1 outer naive) | Double No Top (1 outer naive) | Double No Kink (1 outer naive) | Double Yes Kink (1 outer naive) | Single No MSF (1 inner random) | Single No Top (1 inner random) | Single No Kink (1 inner random) | Proj No MSF (1 inner random) | Proj No Top (1 inner random) | Proj No Kink (1 inner random) | Proj Yes Kink (1 inner random) | Double No MSF (1 inner random) | Double No Top (1 inner random) | Double No Kink (1 inner random) | Double Yes Kink (1 inner random) | Single No MSF (1 inner SA) | Single No Top (1 inner SA) | Single No Kink (1 inner SA) | Proj No MSF (1 inner SA) | Proj No Top (1 inner SA) | Proj No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double No MSF (1 inner SA) | Double No Top (1 inner SA) | Double No Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single No MSF (1 inner naive) | Single No Top (1 inner naive) | Single No Kink (1 inner naive) | Proj No MSF (1 inner naive) | Proj No Top (1 inner naive) | Proj No Kink (1 inner naive) | Proj Yes Kink (1 inner naive) | Double No MSF (1 inner naive) | Double No Top (1 inner naive) | Double No Kink (1 inner naive) | Double Yes Kink (1 inner naive) | Single No MSF (2 outer random) | Single No Top (2 outer random) | Single No Kink (2 outer random) | Single Yes Kink (2 outer random) | Proj No MSF (2 outer random) | Proj No Top (2 outer random) | Proj No Kink (2 outer random) | Proj Yes Kink (2 outer random) | Double No MSF (2 outer random) | Double No Top (2 outer random) | Double No Kink (2 outer random) | Double Yes Kink (2 outer random) | Single No MSF (2 outer SA) | Single No Top (2 outer SA) | Single No Kink (2 outer SA) | Single Yes Kink (2 outer SA) | Proj No MSF (2 outer SA) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double No MSF (2 outer SA) | Double No Top (2 outer SA) | Double No Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single No MSF (2 outer naive) | Single No Top (2 outer naive) | Single No Kink (2 outer naive) | Single Yes Kink (2 outer naive) | Proj No MSF (2 outer naive) | Proj No Top (2 outer naive) | Proj No Kink (2 outer naive) | Proj Yes Kink (2 outer naive) | Double No MSF (2 outer naive) | Double No Top (2 outer naive) | Double No Kink (2 outer naive) | Double Yes Kink (2 outer naive) | Single No MSF (2 inner random) | Single No Top (2 inner random) | Single No Kink (2 inner random) | Single Yes Kink (2 inner random) | Proj No MSF (2 inner random) | Proj No Top (2 inner random) | Proj No Kink (2 inner random) | Proj Yes Kink (2 inner random) | Double No MSF (2 inner random) | Double No Top (2 inner random) | Double No Kink (2 inner random) | Double Yes Kink (2 inner random) | Single No MSF (2 inner SA) | Single No Top (2 inner SA) | Single No Kink (2 inner SA) | Single Yes Kink (2 inner SA) | Proj No MSF (2 inner SA) | Proj No Top (2 inner SA) | Proj No Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double No MSF (2 inner SA) | Double No Top (2 inner SA) | Double No Kink (2 inner SA) | Double Yes Kink (2 inner SA) | Single No MSF (2 inner naive) | Single No Top (2 inner naive) | Single No Kink (2 inner naive) | Single Yes Kink (2 inner naive) | Proj No MSF (2 inner naive) | Proj No Top (2 inner naive) | Proj No Kink (2 inner naive) | Proj Yes Kink (2 inner naive) | Double No MSF (2 inner naive) | Double No Top (2 inner naive) | Double No Kink (2 inner naive) | Double Yes Kink (2 inner naive)
           result_SELECT_100_Schwinger_OBC_0_0_3.in |                           4745 |                           4745 |                            5463 |                         3857 |                         3857 |                          3883 |                           3886 |                           4394 |                           4396 |                            4645 |                             4698 |                       4745 |                       4745 |                        4768 |                     3857 |                     3857 |                      3874 |                       3876 |                       4394 |                       4396 |                        4409 |                         4421 |                          4745 |                          4745 |                           7840 |                        3857 |                        3857 |                         4720 |                          4843 |                          4394 |                          4396 |                           6087 |                            6083 |                           4745 |                           4745 |                            5481 |                         3857 |                         3857 |                          3906 |                           3950 |                           4394 |                           4395 |                            4710 |                             4753 |                       4745 |                       4745 |                        4781 |                     3857 |                     3857 |                      3873 |                       3874 |                       4394 |                       4396 |                        4416 |                         4442 |                          4745 |                          4745 |                           7840 |                        3857 |                        3857 |                         4720 |                          4843 |                          4394 |                          4396 |                           6087 |                            6083 |                           4745 |                           4745 |                            4774 |                             4762 |                         3857 |                         3857 |                          3875 |                           3876 |                           4394 |                           4395 |                            4451 |                             4568 |                       4745 |                       4745 |                        4748 |                         4752 |                     3857 |                     3857 |                      3870 |                       3870 |                       4394 |                       4395 |                        4403 |                         4415 |                          4745 |                          4745 |                           5406 |                            5439 |                        3857 |                        3857 |                         4212 |                          4278 |                          4394 |                          4395 |                           5033 |                            5080 |                           4745 |                           4745 |                            4777 |                             4792 |                         3857 |                         3857 |                          3882 |                           3911 |                           4394 |                           4395 |                            4581 |                             4623 |                       4745 |                       4745 |                        4748 |                         4752 |                     3857 |                     3857 |                      3865 |                       3866 |                       4394 |                       4395 |                        4901 |                         5101 |                          4745 |                          4745 |                           5406 |                            5439 |                        3857 |                        3857 |                         4212 |                          4278 |                          4394 |                          4395 |                           5033 |                            5080
           result_SELECT_100_Schwinger_OBC_0_0_4.in |                           2423 |                           2423 |                            3706 |                         1928 |                         1928 |                          2063 |                           2083 |                           2229 |                           2229 |                            2764 |                             2757 |                       2423 |                       2423 |                        2538 |                     1928 |                     1928 |                      1981 |                       2030 |                       2229 |                       2229 |                        2285 |                         2329 |                          2423 |                          2423 |                           5354 |                        1928 |                        1928 |                         3437 |                          3538 |                          2229 |                          2229 |                           4174 |                            4170 |                           2423 |                           2423 |                            3809 |                         1928 |                         1928 |                          2040 |                           2068 |                           2229 |                           2229 |                            2727 |                             2725 |                       2423 |                       2423 |                        2499 |                     1928 |                     1928 |                      1958 |                       1973 |                       2229 |                       2229 |                        2278 |                         2322 |                          2423 |                          2423 |                           5354 |                        1928 |                        1928 |                         3437 |                          3538 |                          2229 |                          2229 |                           4174 |                            4170 |                           2423 |                           2423 |                            2472 |                             2483 |                         1928 |                         1928 |                          1970 |                           1974 |                           2229 |                           2229 |                            2518 |                             2601 |                       2423 |                       2423 |                        2433 |                         2445 |                     1928 |                     1928 |                      1950 |                       1953 |                       2229 |                       2229 |                        2307 |                         2353 |                          2423 |                          2423 |                           3517 |                            3391 |                        1928 |                        1928 |                         2776 |                          2866 |                          2229 |                          2229 |                           3152 |                            3194 |                           2423 |                           2423 |                            2478 |                             2486 |                         1928 |                         1928 |                          1964 |                           1968 |                           2229 |                           2229 |                            2351 |                             2397 |                       2423 |                       2423 |                        2437 |                         2450 |                     1928 |                     1928 |                      1949 |                       1955 |                       2229 |                       2229 |                        2406 |                         2476 |                          2423 |                          2423 |                           3517 |                            3391 |                        1928 |                        1928 |                         2776 |                          2866 |                          2229 |                          2229 |                           3152 |                            3194
           result_SELECT_100_Schwinger_OBC_0_0_5.in |                           1282 |                           1282 |                            3012 |                          968 |                          968 |                          1341 |                           1371 |                           1151 |                           1152 |                            1810 |                             1812 |                       1282 |                       1282 |                        1581 |                      968 |                      968 |                      1330 |                       1381 |                       1151 |                       1152 |                        1289 |                         1332 |                          1282 |                          1282 |                           3023 |                         968 |                         968 |                         2699 |                          2766 |                          1151 |                          1152 |                           2448 |                            2463 |                           1282 |                           1282 |                            2731 |                          968 |                          968 |                          1278 |                           1308 |                           1151 |                           1151 |                            1726 |                             1736 |                       1282 |                       1282 |                        1512 |                      968 |                      968 |                      1408 |                       1459 |                       1151 |                       1152 |                        1292 |                         1336 |                          1282 |                          1282 |                           3023 |                         968 |                         968 |                         2699 |                          2766 |                          1151 |                          1152 |                           2448 |                            2463 |                           1282 |                           1282 |                            1441 |                             1452 |                          968 |                          968 |                          1098 |                           1113 |                           1151 |                           1151 |                            1484 |                             1496 |                       1282 |                       1282 |                        1325 |                         1357 |                      968 |                      968 |                      1093 |                       1139 |                       1151 |                       1151 |                        1211 |                         1250 |                          1282 |                          1282 |                           2174 |                            2150 |                         968 |                         968 |                         2129 |                          2166 |                          1151 |                          1151 |                           1959 |                            1978 |                           1282 |                           1282 |                            1432 |                             1449 |                          968 |                          968 |                          1065 |                           1081 |                           1151 |                           1151 |                            1469 |                             1482 |                       1282 |                       1282 |                        1321 |                         1339 |                      968 |                      968 |                      1091 |                       1132 |                       1151 |                       1151 |                        1291 |                         1342 |                          1282 |                          1282 |                           2174 |                            2150 |                         968 |                         968 |                         2129 |                          2166 |                          1151 |                          1151 |                           1959 |                            1978
           result_SELECT_100_Schwinger_OBC_0_0_6.in |                            730 |                            732 |                            2658 |                          488 |                          488 |                          1010 |                           1024 |                            621 |                            623 |                            1452 |                             1453 |                        730 |                        732 |                        1283 |                      488 |                      488 |                      1045 |                       1074 |                        621 |                        623 |                        1016 |                         1039 |                           730 |                           732 |                           3880 |                         488 |                         488 |                         2378 |                          2412 |                           621 |                           623 |                           2769 |                            2765 |                            730 |                            730 |                            2457 |                          488 |                          488 |                           966 |                            984 |                            621 |                            622 |                            1331 |                             1341 |                        730 |                        732 |                        1168 |                      488 |                      488 |                      1087 |                       1114 |                        621 |                        623 |                         995 |                         1025 |                           730 |                           732 |                           3880 |                         488 |                         488 |                         2378 |                          2412 |                           621 |                           623 |                           2769 |                            2765 |                            730 |                            730 |                            1001 |                             1020 |                          488 |                          488 |                           739 |                            754 |                            621 |                            622 |                             917 |                              928 |                        730 |                        730 |                         813 |                          849 |                      488 |                      488 |                       690 |                        715 |                        621 |                        622 |                         805 |                          856 |                           730 |                           730 |                           1650 |                            1583 |                         488 |                         488 |                         1807 |                          1842 |                           621 |                           622 |                           1583 |                            1599 |                            730 |                            730 |                             945 |                              960 |                          488 |                          488 |                           710 |                            725 |                            621 |                            622 |                             889 |                              902 |                        730 |                        730 |                         807 |                          837 |                      488 |                      488 |                       807 |                        836 |                        621 |                        622 |                         804 |                          825 |                           730 |                           730 |                           1650 |                            1583 |                         488 |                         488 |                         1807 |                          1842 |                           621 |                           622 |                           1583 |                            1599
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_0.in |                          14874 |                          14876 |                           14876 |                        14040 |                        14040 |                         14043 |                          14043 |                          14537 |                          14538 |                           14541 |                            14547 |                      14874 |                      14876 |                       14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14541 |                        14542 |                         14874 |                         14876 |                          14876 |                       14040 |                       14040 |                        14042 |                         14042 |                         14537 |                         14538 |                          14539 |                           14542 |                          14874 |                          14876 |                           14876 |                        14040 |                        14040 |                         14042 |                          14041 |                          14537 |                          14538 |                           14541 |                            14543 |                      14874 |                      14876 |                       14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14539 |                        14539 |                         14874 |                         14876 |                          14876 |                       14040 |                       14040 |                        14042 |                         14042 |                         14537 |                         14538 |                          14539 |                           14542 |                          14874 |                          14876 |                           14876 |                            14876 |                        14040 |                        14040 |                         14041 |                          14041 |                          14537 |                          14538 |                           14868 |                            15040 |                      14874 |                      14876 |                       14876 |                        14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14539 |                        14539 |                         14874 |                         14876 |                          14876 |                           14876 |                       14040 |                       14040 |                        14042 |                         14042 |                         14537 |                         14538 |                          14539 |                           14541 |                          14874 |                          14876 |                           14876 |                            14876 |                        14040 |                        14040 |                         14040 |                          14040 |                          14537 |                          14538 |                           15066 |                            15335 |                      14874 |                      14876 |                       14876 |                        14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14539 |                        14539 |                         14874 |                         14876 |                          14876 |                           14876 |                       14040 |                       14040 |                        14042 |                         14042 |                         14537 |                         14538 |                          14539 |                           14541
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_1.in |                           8921 |                           8922 |                            8922 |                         8526 |                         8526 |                          8840 |                           8841 |                           8777 |                           8778 |                            8787 |                             8800 |                       8921 |                       8922 |                        8922 |                     8526 |                     8526 |                      8838 |                       8839 |                       8777 |                       8778 |                        8780 |                         8787 |                          8921 |                          8922 |                           8928 |                        8526 |                        8526 |                         9363 |                          9382 |                          8777 |                          8778 |                           8784 |                            8813 |                           8921 |                           8922 |                            8944 |                         8526 |                         8526 |                          8835 |                           8841 |                           8777 |                           8778 |                            8791 |                             8792 |                       8921 |                       8922 |                        8922 |                     8526 |                     8526 |                      8923 |                       8928 |                       8777 |                       8778 |                        8780 |                         8787 |                          8921 |                          8922 |                           8928 |                        8526 |                        8526 |                         9363 |                          9382 |                          8777 |                          8778 |                           8784 |                            8813 |                           8921 |                           8922 |                            8922 |                             8922 |                         8526 |                         8526 |                          8796 |                           8801 |                           8777 |                           8778 |                            8781 |                             8792 |                       8921 |                       8922 |                        8922 |                         8922 |                     8526 |                     8526 |                      8828 |                       8814 |                       8777 |                       8778 |                        8779 |                         8789 |                          8921 |                          8922 |                           8922 |                            8923 |                        8526 |                        8526 |                         9516 |                          9516 |                          8777 |                          8778 |                           8780 |                            8796 |                           8921 |                           8922 |                            8923 |                             8923 |                         8526 |                         8526 |                          8785 |                           8790 |                           8777 |                           8778 |                            8890 |                             8872 |                       8921 |                       8922 |                        8922 |                         8922 |                     8526 |                     8526 |                      8865 |                       8874 |                       8777 |                       8778 |                        8779 |                         8789 |                          8921 |                          8922 |                           8922 |                            8923 |                        8526 |                        8526 |                         9516 |                          9516 |                          8777 |                          8778 |                           8780 |                            8796
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_2.in |                           4940 |                           4940 |                            4942 |                         4442 |                         4442 |                          4722 |                           4733 |                           4869 |                           4869 |                            4875 |                             4894 |                       4940 |                       4940 |                        4940 |                     4442 |                     4442 |                      5112 |                       5194 |                       4869 |                       4869 |                        4876 |                         4884 |                          4940 |                          4940 |                           4952 |                        4442 |                        4442 |                         5213 |                          5238 |                          4869 |                          4869 |                           5239 |                            5220 |                           4940 |                           4940 |                            4948 |                         4442 |                         4442 |                          4710 |                           4716 |                           4869 |                           4869 |                            4918 |                             4964 |                       4940 |                       4940 |                        4941 |                     4442 |                     4442 |                      5592 |                       5637 |                       4869 |                       4869 |                        4881 |                         4889 |                          4940 |                          4940 |                           4952 |                        4442 |                        4442 |                         5213 |                          5238 |                          4869 |                          4869 |                           5239 |                            5220 |                           4940 |                           4940 |                            4940 |                             4940 |                         4442 |                         4442 |                          4700 |                           4730 |                           4869 |                           4869 |                            4875 |                             4898 |                       4940 |                       4940 |                        4940 |                         4940 |                     4442 |                     4442 |                      4973 |                       5021 |                       4869 |                       4869 |                        4872 |                         4883 |                          4940 |                          4940 |                           4940 |                            4940 |                        4442 |                        4442 |                         5672 |                          5685 |                          4869 |                          4869 |                           4877 |                            4890 |                           4940 |                           4940 |                            4940 |                             4940 |                         4442 |                         4442 |                          4711 |                           4714 |                           4869 |                           4869 |                            4878 |                             4901 |                       4940 |                       4940 |                        4940 |                         4940 |                     4442 |                     4442 |                      5550 |                       5566 |                       4869 |                       4869 |                        4874 |                         4886 |                          4940 |                          4940 |                           4940 |                            4940 |                        4442 |                        4442 |                         5672 |                          5685 |                          4869 |                          4869 |                           4877 |                            4890
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_3.in |                           2640 |                           2640 |                            2673 |                         2318 |                         2318 |                          2599 |                           2596 |                           2595 |                           2595 |                            2665 |                             2643 |                       2640 |                       2640 |                        2676 |                     2318 |                     2318 |                      3016 |                       3039 |                       2595 |                       2595 |                        2613 |                         2635 |                          2640 |                          2640 |                           2887 |                        2318 |                        2318 |                         3254 |                          3296 |                          2595 |                          2595 |                           2724 |                            2753 |                           2640 |                           2640 |                            2680 |                         2318 |                         2318 |                          2595 |                           2624 |                           2595 |                           2595 |                            2662 |                             2652 |                       2640 |                       2640 |                        2653 |                     2318 |                     2318 |                      2937 |                       2980 |                       2595 |                       2595 |                        2608 |                         2624 |                          2640 |                          2640 |                           2887 |                        2318 |                        2318 |                         3254 |                          3296 |                          2595 |                          2595 |                           2724 |                            2753 |                           2640 |                           2640 |                            2640 |                             2641 |                         2318 |                         2318 |                          2533 |                           2568 |                           2595 |                           2595 |                            2741 |                             2759 |                       2640 |                       2640 |                        2640 |                         2640 |                     2318 |                     2318 |                      2936 |                       2945 |                       2595 |                       2595 |                        2605 |                         2619 |                          2640 |                          2640 |                           2650 |                            2659 |                        2318 |                        2318 |                         3165 |                          3181 |                          2595 |                          2595 |                           2736 |                            2742 |                           2640 |                           2640 |                            2640 |                             2641 |                         2318 |                         2318 |                          2532 |                           2554 |                           2595 |                           2595 |                            2721 |                             2730 |                       2640 |                       2640 |                        2640 |                         2640 |                     2318 |                     2318 |                      3036 |                       3057 |                       2595 |                       2595 |                        2600 |                         2607 |                          2640 |                          2640 |                           2650 |                            2659 |                        2318 |                        2318 |                         3165 |                          3181 |                          2595 |                          2595 |                           2736 |                            2742
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_4.in |                           1538 |                           1538 |                            1619 |                         1178 |                         1178 |                          1479 |                           1483 |                           1506 |                           1506 |                            1540 |                             1555 |                       1538 |                       1538 |                        1589 |                     1178 |                     1178 |                      1673 |                       1681 |                       1506 |                       1506 |                        1526 |                         1539 |                          1538 |                          1538 |                           2031 |                        1178 |                        1178 |                         1810 |                          1846 |                          1506 |                          1506 |                           1681 |                            1709 |                           1538 |                           1538 |                            1683 |                         1178 |                         1178 |                          1458 |                           1471 |                           1506 |                           1506 |                            1562 |                             1575 |                       1538 |                       1538 |                        1572 |                     1178 |                     1178 |                      1621 |                       1638 |                       1506 |                       1506 |                        1530 |                         1552 |                          1538 |                          1538 |                           2031 |                        1178 |                        1178 |                         1810 |                          1846 |                          1506 |                          1506 |                           1681 |                            1709 |                           1538 |                           1538 |                            1541 |                             1541 |                         1178 |                         1178 |                          1458 |                           1455 |                           1506 |                           1506 |                            1523 |                             1530 |                       1538 |                       1538 |                        1540 |                         1541 |                     1178 |                     1178 |                      1572 |                       1583 |                       1506 |                       1506 |                        1516 |                         1528 |                          1538 |                          1538 |                           1595 |                            1616 |                        1178 |                        1178 |                         1733 |                          1754 |                          1506 |                          1506 |                           1578 |                            1603 |                           1538 |                           1538 |                            1545 |                             1540 |                         1178 |                         1178 |                          1455 |                           1458 |                           1506 |                           1506 |                            1533 |                             1536 |                       1538 |                       1538 |                        1540 |                         1541 |                     1178 |                     1178 |                      1629 |                       1637 |                       1506 |                       1506 |                        1517 |                         1534 |                          1538 |                          1538 |                           1595 |                            1616 |                        1178 |                        1178 |                         1733 |                          1754 |                          1506 |                          1506 |                           1578 |                            1603
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |                           8099 |                           8101 |                            8101 |                         6660 |                         6660 |                          6660 |                           6660 |                           7536 |                           7537 |                            7546 |                             7553 |                       8099 |                       8101 |                        8101 |                     6660 |                     6660 |                      6660 |                       6660 |                       7536 |                       7537 |                        7538 |                         7538 |                          8099 |                          8101 |                           8101 |                        6660 |                        6660 |                         6664 |                          6664 |                          7536 |                          7537 |                           7538 |                            7538 |                           8099 |                           8101 |                            8109 |                         6660 |                         6660 |                          6661 |                           6662 |                           7536 |                           7537 |                            7826 |                             8098 |                       8099 |                       8101 |                        8101 |                     6660 |                     6660 |                      6662 |                       6661 |                       7536 |                       7537 |                        7537 |                         7538 |                          8099 |                          8101 |                           8101 |                        6660 |                        6660 |                         6664 |                          6664 |                          7536 |                          7537 |                           7538 |                            7538 |                           8099 |                           8101 |                            8101 |                             8101 |                         6660 |                         6660 |                          6661 |                           6661 |                           7536 |                           7537 |                            7538 |                             7541 |                       8099 |                       8101 |                        8101 |                         8101 |                     6660 |                     6660 |                      6660 |                       6660 |                       7536 |                       7537 |                        7538 |                         7538 |                          8099 |                          8101 |                           8101 |                            8101 |                        6660 |                        6660 |                         6663 |                          6664 |                          7536 |                          7537 |                           7538 |                            7546 |                           8099 |                           8101 |                            8103 |                             8106 |                         6660 |                         6660 |                          6662 |                           6665 |                           7536 |                           7537 |                            7546 |                             7547 |                       8099 |                       8101 |                        8101 |                         8101 |                     6660 |                     6660 |                      6663 |                       6662 |                       7536 |                       7537 |                        7537 |                         7538 |                          8099 |                          8101 |                           8101 |                            8101 |                        6660 |                        6660 |                         6663 |                          6664 |                          7536 |                          7537 |                           7538 |                            7546
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |                           4079 |                           4080 |                            4088 |                         3333 |                         3333 |                          3341 |                           3341 |                           3792 |                           3793 |                            3798 |                             3800 |                       4079 |                       4080 |                        4080 |                     3333 |                     3333 |                      3335 |                       3335 |                       3792 |                       3793 |                        3796 |                         3796 |                          4079 |                          4080 |                           4082 |                        3333 |                        3333 |                         3354 |                          3356 |                          3792 |                          3793 |                           3797 |                            3801 |                           4079 |                           4080 |                            4086 |                         3333 |                         3333 |                          3341 |                           3341 |                           3792 |                           3793 |                            3796 |                             3800 |                       4079 |                       4080 |                        4083 |                     3333 |                     3333 |                      3341 |                       3341 |                       3792 |                       3793 |                        3796 |                         3799 |                          4079 |                          4080 |                           4082 |                        3333 |                        3333 |                         3354 |                          3356 |                          3792 |                          3793 |                           3797 |                            3801 |                           4079 |                           4080 |                            4081 |                             4081 |                         3333 |                         3333 |                          3336 |                           3337 |                           3792 |                           3793 |                            3794 |                             3797 |                       4079 |                       4080 |                        4080 |                         4080 |                     3333 |                     3333 |                      3334 |                       3336 |                       3792 |                       3793 |                        3794 |                         3795 |                          4079 |                          4080 |                           4080 |                            4080 |                        3333 |                        3333 |                         3343 |                          3344 |                          3792 |                          3793 |                           3794 |                            3796 |                           4079 |                           4080 |                            4081 |                             4081 |                         3333 |                         3333 |                          3337 |                           3336 |                           3792 |                           3793 |                            3794 |                             3794 |                       4079 |                       4080 |                        4080 |                         4080 |                     3333 |                     3333 |                      3336 |                       3337 |                       3792 |                       3793 |                        3793 |                         3794 |                          4079 |                          4080 |                           4080 |                            4080 |                        3333 |                        3333 |                         3343 |                          3344 |                          3792 |                          3793 |                           3794 |                            3796
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |                           2072 |                           2072 |                            2088 |                         1668 |                         1668 |                          1679 |                           1681 |                           1921 |                           1921 |                            1929 |                             1943 |                       2072 |                       2072 |                        2074 |                     1668 |                     1668 |                      1677 |                       1680 |                       1921 |                       1921 |                        1928 |                         1961 |                          2072 |                          2072 |                           2515 |                        1668 |                        1668 |                         1745 |                          1755 |                          1921 |                          1921 |                           2272 |                            2269 |                           2072 |                           2072 |                            2123 |                         1668 |                         1668 |                          1680 |                           1683 |                           1921 |                           1921 |                            1932 |                             1949 |                       2072 |                       2072 |                        2074 |                     1668 |                     1668 |                      1677 |                       1678 |                       1921 |                       1921 |                        1928 |                         1936 |                          2072 |                          2072 |                           2515 |                        1668 |                        1668 |                         1745 |                          1755 |                          1921 |                          1921 |                           2272 |                            2269 |                           2072 |                           2072 |                            2072 |                             2075 |                         1668 |                         1668 |                          1679 |                           1679 |                           1921 |                           1921 |                            1933 |                             2003 |                       2072 |                       2072 |                        2072 |                         2072 |                     1668 |                     1668 |                      1672 |                       1675 |                       1921 |                       1921 |                        1925 |                         1928 |                          2072 |                          2072 |                           2082 |                            2140 |                        1668 |                        1668 |                         1699 |                          1706 |                          1921 |                          1921 |                           2015 |                            2005 |                           2072 |                           2072 |                            2073 |                             2074 |                         1668 |                         1668 |                          1678 |                           1681 |                           1921 |                           1921 |                            1930 |                             1996 |                       2072 |                       2072 |                        2072 |                         2072 |                     1668 |                     1668 |                      1673 |                       1673 |                       1921 |                       1921 |                        1924 |                         1928 |                          2072 |                          2072 |                           2082 |                            2140 |                        1668 |                        1668 |                         1699 |                          1706 |                          1921 |                          1921 |                           2015 |                            2005
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |                           1069 |                           1069 |                            1189 |                          837 |                          837 |                           859 |                            860 |                            987 |                            987 |                            1038 |                             1049 |                       1069 |                       1069 |                        1070 |                      837 |                      837 |                       852 |                        854 |                        987 |                        987 |                         999 |                         1009 |                          1069 |                          1069 |                           1755 |                         837 |                         837 |                         1053 |                          1083 |                           987 |                           987 |                           1380 |                            1401 |                           1069 |                           1069 |                            1312 |                          837 |                          837 |                           860 |                            863 |                            987 |                            987 |                            1061 |                             1085 |                       1069 |                       1069 |                        1071 |                      837 |                      837 |                       853 |                        854 |                        987 |                        987 |                        1016 |                         1022 |                          1069 |                          1069 |                           1755 |                         837 |                         837 |                         1053 |                          1083 |                           987 |                           987 |                           1380 |                            1401 |                           1069 |                           1069 |                            1072 |                             1074 |                          837 |                          837 |                           852 |                            854 |                            987 |                            987 |                            1077 |                             1149 |                       1069 |                       1069 |                        1069 |                         1069 |                      837 |                      837 |                       847 |                        849 |                        987 |                        987 |                         992 |                         1025 |                          1069 |                          1069 |                           1178 |                            1168 |                         837 |                         837 |                          922 |                           933 |                           987 |                           987 |                           1083 |                            1104 |                           1069 |                           1069 |                            1077 |                             1077 |                          837 |                          837 |                           851 |                            852 |                            987 |                            987 |                            1090 |                             1090 |                       1069 |                       1069 |                        1069 |                         1069 |                      837 |                      837 |                       848 |                        849 |                        987 |                        987 |                        1012 |                         1030 |                          1069 |                          1069 |                           1178 |                            1168 |                         837 |                         837 |                          922 |                           933 |                           987 |                           987 |                           1083 |                            1104
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |                            571 |                            571 |                             908 |                          420 |                          420 |                           504 |                            516 |                            522 |                            522 |                             626 |                              633 |                        571 |                        571 |                         577 |                      420 |                      420 |                       442 |                        447 |                        522 |                        522 |                         535 |                          551 |                           571 |                           571 |                           1122 |                         420 |                         420 |                          871 |                           896 |                           522 |                           522 |                            898 |                             890 |                            571 |                            571 |                             950 |                          420 |                          420 |                           505 |                            523 |                            522 |                            522 |                             615 |                              624 |                        571 |                        571 |                         574 |                      420 |                      420 |                       444 |                        447 |                        522 |                        522 |                         569 |                          613 |                           571 |                           571 |                           1122 |                         420 |                         420 |                          871 |                           896 |                           522 |                           522 |                            898 |                             890 |                            571 |                            571 |                             590 |                              593 |                          420 |                          420 |                           451 |                            455 |                            522 |                            522 |                             586 |                              594 |                        571 |                        571 |                         571 |                          572 |                      420 |                      420 |                       437 |                        438 |                        522 |                        522 |                         536 |                          554 |                           571 |                           571 |                            834 |                             816 |                         420 |                         420 |                          646 |                           663 |                           522 |                           522 |                            748 |                             755 |                            571 |                            571 |                             594 |                              597 |                          420 |                          420 |                           445 |                            451 |                            522 |                            522 |                             571 |                              580 |                        571 |                        571 |                         572 |                          574 |                      420 |                      420 |                       435 |                        437 |                        522 |                        522 |                         544 |                          556 |                           571 |                           571 |                            834 |                             816 |                         420 |                         420 |                          646 |                           663 |                           522 |                           522 |                            748 |                             755
