circuit,factory,layer count,allocator,msf coeff,routing_algo,routing_option,total code beat,circuit volume
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Double,Yes_Kink,8358,320910
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,No_Kink,8664,315864
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Single,Yes_Kink,8664,317124
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Double,No_Kink,8062,299854
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Double,Yes_Kink,8358,307028
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Single,No_Kink,8664,299982
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Single,Yes_Kink,8664,302234
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Double,No_Kink,8062,296576
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Double,Yes_Kink,8358,300698
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Proj,Yes_Kink,7129,3072240
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Single,No_Kink,8664,294118
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Proj,No_Kink,7133,3015381
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Single,Yes_Kink,8664,299330
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Double,No_Kink,8062,273910
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.001,Proj,No_Kink,7131,3149142
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Proj,No_MSF,7128,16664
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Double,Yes_Kink,8063,273699
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Proj,Yes_Kink,7130,3780596
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Proj,No_Top,7128,35736
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.01,Proj,Yes_Kink,7132,3005292
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Single,No_MSF,8662,190438
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Single,No_Top,8664,209514
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Single,No_Kink,8664,267678
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Double,No_MSF,8061,176904
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,1,Single,Yes_Kink,8664,284824
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,1,random,0,Proj,No_Kink,7129,3833027
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Double,No_Top,8062,195978
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,SA,0.1,Proj,No_Kink,7132,3046941
result_SELECT_100_Heisenberg1D_OBC_1_0_0,inner,2,random,0,Proj,No_MSF,7128,16664
