                                                    | Single No Top (2D RND) | Single No Kink (2D RND) | Proj No Top (2D RND) | Proj No Kink (2D RND) | Double No Top (2D RND) | Double No Kink (2D RND) | Double Yes Kink (2D RND) | Double Yes Kink w/ skip (2D RND) | Double Yes Kink two cells (2D RND) | Single No Top (2D SA) | Single No Kink (2D SA) | Proj No Top (2D SA) | Proj No Kink (2D SA) | Double No Top (2D SA) | Double No Kink (2D SA) | Double Yes Kink (2D SA) | Double Yes Kink w/ skip (2D SA) | Double Yes Kink two cells (2D SA) | Single No Top (2.5D RND) | Single No Kink (2.5D RND) | Single Yes Kink (2.5D RND) | Proj No Top (2.5D RND) | Proj No Kink (2.5D RND) | Double No Top (2.5D RND) | Double No Kink (2.5D RND) | Double Yes Kink (2.5D RND) | Double Yes Kink w/ skip (2.5D RND) | Double Yes Kink two cells (2.5D RND) | Single No Top (2.5D SA) | Single No Kink (2.5D SA) | Single Yes Kink (2.5D SA) | Proj No Top (2.5D SA) | Proj No Kink (2.5D SA) | Double No Top (2.5D SA) | Double No Kink (2.5D SA) | Double Yes Kink (2.5D SA) | Double Yes Kink w/ skip (2.5D SA) | Double Yes Kink two cells (2.5D SA)
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |                   5022 |                    5022 |                 4440 |                  4442 |                   4458 |                    4458 |                     4746 |                             4746 |                               4463 |                  5022 |                   5022 |                4440 |                 4441 |                  4458 |                   4458 |                    4767 |                            4767 |                              4767 |                     5022 |                      5022 |                       5022 |                   4440 |                    4442 |                     4458 |                      4458 |                       5023 |                               5024 |                                 4587 |                    5022 |                     5022 |                      5022 |                  4440 |                   4440 |                    4458 |                     4458 |                      4746 |                              4747 |                                4748
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |                   2527 |                    2532 |                 2221 |                  2224 |                   2239 |                    2240 |                     2394 |                             2409 |                               2385 |                  2527 |                   2533 |                2221 |                 2224 |                  2239 |                   2245 |                    2531 |                            2532 |                              2533 |                     2527 |                      2527 |                       2529 |                   2221 |                    2224 |                     2239 |                      2241 |                       2524 |                               2549 |                                 2244 |                    2527 |                     2527 |                      2528 |                  2221 |                   2223 |                    2239 |                     2239 |                      2388 |                              2399 |                                2386
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |                   1283 |                    1354 |                 1112 |                  1120 |                   1132 |                    1139 |                     1262 |                             1302 |                               1222 |                  1283 |                   1285 |                1112 |                 1115 |                  1132 |                   1132 |                    1263 |                            1263 |                              1262 |                     1283 |                      1283 |                       1285 |                   1112 |                    1117 |                     1132 |                      1133 |                       1221 |                               1349 |                                 1173 |                    1283 |                     1283 |                      1283 |                  1112 |                   1114 |                    1132 |                     1133 |                      1216 |                              1231 |                                1213
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |                    662 |                     889 |                  557 |                   574 |                    579 |                     641 |                      731 |                              756 |                                693 |                   662 |                    663 |                 557 |                  563 |                   579 |                    581 |                     656 |                             659 |                               656 |                      662 |                       668 |                        679 |                    557 |                     569 |                      579 |                       585 |                        659 |                                777 |                                  614 |                     662 |                      662 |                       663 |                   557 |                    560 |                     579 |                      579 |                       629 |                               663 |                                 624
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |                    354 |                     689 |                  280 |                   363 |                    305 |                     465 |                      486 |                              490 |                                476 |                   354 |                    359 |                 280 |                  287 |                   305 |                    307 |                     348 |                             350 |                               348 |                      354 |                       372 |                        382 |                    280 |                     302 |                      305 |                       320 |                        376 |                                468 |                                  351 |                     354 |                      354 |                       358 |                   280 |                    288 |                     305 |                      306 |                       335 |                               336 |                                 334
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5.in |                    206 |                     608 |                  141 |                   282 |                    169 |                     389 |                      397 |                              400 |                                395 |                   206 |                    212 |                 141 |                  153 |                   169 |                    173 |                     198 |                             199 |                               194 |                      206 |                       277 |                        295 |                    141 |                     203 |                      169 |                       241 |                        261 |                                310 |                                  250 |                     206 |                      206 |                       210 |                   141 |                    150 |                     169 |                      169 |                       202 |                               207 |                                 196
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6.in |                    137 |                     562 |                   72 |                   237 |                    103 |                     337 |                      340 |                              342 |                                339 |                   137 |                    145 |                  72 |                   88 |                   103 |                    108 |                     133 |                             137 |                               129 |                      137 |                       243 |                        251 |                     72 |                     169 |                      103 |                       206 |                        220 |                                233 |                                  213 |                     137 |                      138 |                       141 |                    72 |                     83 |                     103 |                      105 |                       132 |                               134 |                                 125
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_0.in |                  20012 |                   20012 |                17760 |                 17760 |                  17782 |                   17782 |                    18905 |                            18905 |                              17786 |                 20012 |                  20012 |               17760 |                17761 |                 17782 |                  17782 |                   18904 |                           18904 |                             18906 |                    20012 |                     20012 |                      20012 |                  17760 |                   17760 |                    17782 |                     17782 |                      18923 |                              18992 |                                17783 |                   20012 |                    20012 |                     20012 |                 17760 |                  17760 |                   17782 |                    17782 |                     18907 |                             18907 |                               18906
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_1.in |                  10024 |                   10027 |                 8880 |                  8885 |                   8902 |                    8903 |                     9470 |                             9491 |                               8918 |                 10024 |                  10024 |                8880 |                 8884 |                  8902 |                   8902 |                    9490 |                            9485 |                              9489 |                    10024 |                     10024 |                      10025 |                   8880 |                    8883 |                     8902 |                      8902 |                       9587 |                               9747 |                                 9461 |                   10024 |                    10024 |                     10024 |                  8880 |                   8881 |                    8902 |                     8904 |                      9478 |                             10300 |                                9475
  result_SELECT_10_Heisenberg2D_cylinder_1_0.5_2.in |                   5033 |                    5141 |                 4440 |                  4449 |                   4464 |                    4465 |                     4809 |                             4853 |                               4752 |                  5033 |                   5034 |                4440 |                 4444 |                  4464 |                   4476 |                    4802 |                            4810 |                              4792 |                     5033 |                      5033 |                       5037 |                   4440 |                    4445 |                     4464 |                      4467 |                       5072 |                               5542 |                                 4745 |                    5033 |                     5033 |                      5036 |                  4440 |                   4444 |                    4464 |                     4464 |                      4787 |                              4797 |                                4793
