circuit,factory,layer_count,allocator,msf_coeff,msf_prep_time,routing_algo,routing_option,total_code_beat,circuit_volume
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Double,No_Kink,469,826664
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Double,Yes_Kink,472,847733
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Single,No_Kink,489,786572
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.01,10,Double,Yes_Kink,471,815199
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Single,No_Kink,482,826239
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Double,No_Kink,470,801980
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Double,Yes_Kink,470,792001
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.001,10,Double,No_Kink,469,844756
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,0.1,10,Single,No_Kink,483,791118
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Double,No_Kink,474,825339
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Double,Yes_Kink,474,818497
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,SA,1,10,Single,No_Kink,489,785763
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Double,No_MSF,177,121590
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Double,No_Top,473,412560
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Double,Yes_Kink,794,1402437
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Double,No_Kink,794,1406123
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,naive,0,10,Single,No_Kink,1044,1552041
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Proj,No_MSF,108,21372
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Proj,No_Top,451,45820
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Single,No_MSF,211,146329
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Single,No_Top,483,420755
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Double,No_Kink,483,1290227
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6,inner,1,random,0,10,Double,Yes_Kink,487,1301564
