                                                    | Single No MSF (1 outer SA) | Single No Top (1 outer SA) | Single No Kink (1 outer SA) | Proj No MSF (1 outer SA) | Proj No Top (1 outer SA) | Proj No Kink (1 outer SA) | Proj Yes Kink (1 outer SA) | Double No MSF (1 outer SA) | Double No Top (1 outer SA) | Double No Kink (1 outer SA) | Double Yes Kink (1 outer SA) | Single No MSF (1 inner SA) | Single No Top (1 inner SA) | Single No Kink (1 inner SA) | Proj No MSF (1 inner SA) | Proj No Top (1 inner SA) | Proj No Kink (1 inner SA) | Proj Yes Kink (1 inner SA) | Double No MSF (1 inner SA) | Double No Top (1 inner SA) | Double No Kink (1 inner SA) | Double Yes Kink (1 inner SA) | Single No MSF (2 outer SA) | Single No Top (2 outer SA) | Single No Kink (2 outer SA) | Single Yes Kink (2 outer SA) | Proj No MSF (2 outer SA) | Proj No Top (2 outer SA) | Proj No Kink (2 outer SA) | Proj Yes Kink (2 outer SA) | Double No MSF (2 outer SA) | Double No Top (2 outer SA) | Double No Kink (2 outer SA) | Double Yes Kink (2 outer SA) | Single No MSF (2 inner SA) | Single No Top (2 inner SA) | Single No Kink (2 inner SA) | Single Yes Kink (2 inner SA) | Proj No MSF (2 inner SA) | Proj No Top (2 inner SA) | Proj No Kink (2 inner SA) | Proj Yes Kink (2 inner SA) | Double No MSF (2 inner SA) | Double No Top (2 inner SA) | Double No Kink (2 inner SA) | Double Yes Kink (2 inner SA)
           result_SELECT_100_Schwinger_OBC_0_0_3.in |                       4745 |                       4745 |                        4768 |                     3857 |                     3857 |                      3874 |                       3876 |                       4394 |                       4396 |                        4409 |                         4421 |                       4745 |                       4745 |                        4781 |                     3857 |                     3857 |                      3873 |                       3874 |                       4394 |                       4396 |                        4416 |                         4442 |                       4745 |                       4745 |                        4748 |                         4753 |                     3857 |                     3857 |                      3871 |                       3872 |                       4394 |                       4396 |                        4422 |                         4429 |                       4745 |                       4745 |                        4751 |                         4751 |                     3857 |                     3857 |                      3869 |                       3868 |                       4394 |                       4396 |                        4408 |                         4438
           result_SELECT_100_Schwinger_OBC_0_0_4.in |                       2423 |                       2423 |                        2538 |                     1928 |                     1928 |                      1981 |                       2030 |                       2229 |                       2229 |                        2285 |                         2329 |                       2423 |                       2423 |                        2499 |                     1928 |                     1928 |                      1958 |                       1973 |                       2229 |                       2229 |                        2278 |                         2322 |                       2423 |                       2423 |                        2445 |                         2444 |                     1928 |                     1928 |                      1953 |                       1956 |                       2229 |                       2229 |                        2296 |                         2346 |                       2423 |                       2423 |                        2437 |                         2445 |                     1928 |                     1928 |                      1949 |                       1949 |                       2229 |                       2229 |                        2562 |                         2633
           result_SELECT_100_Schwinger_OBC_0_0_5.in |                       1282 |                       1282 |                        1581 |                      968 |                      968 |                      1330 |                       1381 |                       1151 |                       1152 |                        1289 |                         1332 |                       1282 |                       1282 |                        1512 |                      968 |                      968 |                      1408 |                       1459 |                       1151 |                       1152 |                        1292 |                         1336 |                       1282 |                       1282 |                        1325 |                         1350 |                      968 |                      968 |                      1094 |                       1134 |                       1151 |                       1152 |                        1247 |                         1301 |                       1282 |                       1282 |                        1314 |                         1337 |                      968 |                      968 |                      1068 |                       1100 |                       1151 |                       1152 |                        1526 |                         1650
           result_SELECT_100_Schwinger_OBC_0_0_6.in |                        730 |                        732 |                        1283 |                      488 |                      488 |                      1045 |                       1074 |                        621 |                        623 |                        1016 |                         1039 |                        730 |                        732 |                        1168 |                      488 |                      488 |                      1087 |                       1114 |                        621 |                        623 |                         995 |                         1025 |                        730 |                        732 |                         824 |                          861 |                      488 |                      488 |                       762 |                        789 |                        621 |                        623 |                         809 |                          869 |                        730 |                        732 |                         807 |                          835 |                      488 |                      488 |                       792 |                        822 |                        621 |                        623 |                         831 |                          854
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_0.in |                      14874 |                      14876 |                       14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14541 |                        14542 |                      14874 |                      14876 |                       14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14539 |                        14539 |                      14874 |                      14876 |                       14876 |                        14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14539 |                        14539 |                      14874 |                      14876 |                       14876 |                        14876 |                    14040 |                    14040 |                     14040 |                      14040 |                      14537 |                      14538 |                       14538 |                        14538
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_1.in |                       8921 |                       8922 |                        8922 |                     8526 |                     8526 |                      8838 |                       8839 |                       8777 |                       8778 |                        8780 |                         8787 |                       8921 |                       8922 |                        8922 |                     8526 |                     8526 |                      8923 |                       8928 |                       8777 |                       8778 |                        8780 |                         8787 |                       8921 |                       8922 |                        8922 |                         8922 |                     8526 |                     8526 |                      8840 |                       8842 |                       8777 |                       8778 |                        8780 |                         8787 |                       8921 |                       8922 |                        8922 |                         8922 |                     8526 |                     8526 |                      8860 |                       8908 |                       8777 |                       8778 |                        8778 |                         8786
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_2.in |                       4940 |                       4940 |                        4940 |                     4442 |                     4442 |                      5112 |                       5194 |                       4869 |                       4869 |                        4876 |                         4884 |                       4940 |                       4940 |                        4941 |                     4442 |                     4442 |                      5592 |                       5637 |                       4869 |                       4869 |                        4881 |                         4889 |                       4940 |                       4940 |                        4940 |                         4940 |                     4442 |                     4442 |                      5258 |                       5292 |                       4869 |                       4869 |                        4875 |                         4884 |                       4940 |                       4940 |                        4940 |                         4940 |                     4442 |                     4442 |                      5525 |                       5575 |                       4869 |                       4869 |                        4876 |                         4883
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_3.in |                       2640 |                       2640 |                        2676 |                     2318 |                     2318 |                      3016 |                       3039 |                       2595 |                       2595 |                        2613 |                         2635 |                       2640 |                       2640 |                        2653 |                     2318 |                     2318 |                      2937 |                       2980 |                       2595 |                       2595 |                        2608 |                         2624 |                       2640 |                       2640 |                        2640 |                         2640 |                     2318 |                     2318 |                      2956 |                       2963 |                       2595 |                       2595 |                        2604 |                         2613 |                       2640 |                       2640 |                        2640 |                         2643 |                     2318 |                     2318 |                      2889 |                       2923 |                       2595 |                       2595 |                        2606 |                         2624
  result_SELECT_10_FermiHubbard2D_cylinder_0_0_4.in |                       1538 |                       1538 |                        1589 |                     1178 |                     1178 |                      1673 |                       1681 |                       1506 |                       1506 |                        1526 |                         1539 |                       1538 |                       1538 |                        1572 |                     1178 |                     1178 |                      1621 |                       1638 |                       1506 |                       1506 |                        1530 |                         1552 |                       1538 |                       1538 |                        1539 |                         1540 |                     1178 |                     1178 |                      1623 |                       1626 |                       1506 |                       1506 |                        1521 |                         1532 |                       1538 |                       1538 |                        1538 |                         1540 |                     1178 |                     1178 |                      1616 |                       1621 |                       1506 |                       1506 |                        1514 |                         1527
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_0.in |                       8099 |                       8101 |                        8101 |                     6660 |                     6660 |                      6660 |                       6660 |                       7536 |                       7537 |                        7538 |                         7538 |                       8099 |                       8101 |                        8101 |                     6660 |                     6660 |                      6662 |                       6661 |                       7536 |                       7537 |                        7537 |                         7538 |                       8099 |                       8101 |                        8101 |                         8101 |                     6660 |                     6660 |                      6660 |                       6661 |                       7536 |                       7537 |                        7538 |                         7538 |                       8099 |                       8101 |                        8101 |                         8101 |                     6660 |                     6660 |                      6660 |                       6664 |                       7536 |                       7537 |                        7537 |                         7538
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_1.in |                       4079 |                       4080 |                        4080 |                     3333 |                     3333 |                      3335 |                       3335 |                       3792 |                       3793 |                        3796 |                         3796 |                       4079 |                       4080 |                        4083 |                     3333 |                     3333 |                      3341 |                       3341 |                       3792 |                       3793 |                        3796 |                         3799 |                       4079 |                       4080 |                        4080 |                         4080 |                     3333 |                     3333 |                      3334 |                       3336 |                       3792 |                       3793 |                        3793 |                         3794 |                       4079 |                       4080 |                        4080 |                         4080 |                     3333 |                     3333 |                      3338 |                       3337 |                       3792 |                       3793 |                        3793 |                         3793
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_2.in |                       2072 |                       2072 |                        2074 |                     1668 |                     1668 |                      1677 |                       1680 |                       1921 |                       1921 |                        1928 |                         1961 |                       2072 |                       2072 |                        2074 |                     1668 |                     1668 |                      1677 |                       1678 |                       1921 |                       1921 |                        1928 |                         1936 |                       2072 |                       2072 |                        2072 |                         2072 |                     1668 |                     1668 |                      1675 |                       1676 |                       1921 |                       1921 |                        1925 |                         1954 |                       2072 |                       2072 |                        2072 |                         2073 |                     1668 |                     1668 |                      1672 |                       1673 |                       1921 |                       1921 |                        1924 |                         1931
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_3.in |                       1069 |                       1069 |                        1070 |                      837 |                      837 |                       852 |                        854 |                        987 |                        987 |                         999 |                         1009 |                       1069 |                       1069 |                        1071 |                      837 |                      837 |                       853 |                        854 |                        987 |                        987 |                        1016 |                         1022 |                       1069 |                       1069 |                        1069 |                         1069 |                      837 |                      837 |                       850 |                        852 |                        987 |                        987 |                         996 |                         1028 |                       1069 |                       1069 |                        1069 |                         1070 |                      837 |                      837 |                       847 |                        849 |                        987 |                        987 |                         996 |                         1031
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_4.in |                        571 |                        571 |                         577 |                      420 |                      420 |                       442 |                        447 |                        522 |                        522 |                         535 |                          551 |                        571 |                        571 |                         574 |                      420 |                      420 |                       444 |                        447 |                        522 |                        522 |                         569 |                          613 |                        571 |                        571 |                         572 |                          573 |                      420 |                      420 |                       437 |                        439 |                        522 |                        522 |                         535 |                          559 |                        571 |                        571 |                         571 |                          573 |                      420 |                      420 |                       435 |                        436 |                        522 |                        522 |                         547 |                          559
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_5.in |                        327 |                        327 |                         346 |                      213 |                      213 |                       261 |                        268 |                        290 |                        291 |                         322 |                          337 |                        327 |                        327 |                         338 |                      213 |                      213 |                       255 |                        264 |                        290 |                        291 |                         306 |                          313 |                        327 |                        327 |                         330 |                          331 |                      213 |                      213 |                       242 |                        245 |                        290 |                        291 |                         308 |                          317 |                        327 |                        327 |                         328 |                          328 |                      213 |                      213 |                       236 |                        242 |                        290 |                        291 |                         314 |                          317
result_SELECT_10_Heisenberg2D_cylinder_0.5_0.5_6.in |                        211 |                        211 |                         298 |                      108 |                      123 |                       202 |                        208 |                        177 |                        177 |                         245 |                          253 |                        211 |                        211 |                         242 |                      108 |                      123 |                       186 |                        194 |                        177 |                        177 |                         208 |                          218 |                        211 |                        211 |                         217 |                          219 |                      108 |                      123 |                       160 |                        165 |                        177 |                        177 |                         219 |                          234 |                        211 |                        211 |                         214 |                          218 |                      108 |                      123 |                       155 |                        161 |                        177 |                        177 |                         205 |                          213
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_0.in |                       2214 |                       2216 |                        2216 |                     1800 |                     1800 |                      1800 |                       1801 |                       2059 |                       2060 |                        2061 |                         2061 |                       2214 |                       2216 |                        2216 |                     1800 |                     1800 |                      1802 |                       1803 |                       2059 |                       2060 |                        2061 |                         2061 |                       2214 |                       2216 |                        2216 |                         2216 |                     1800 |                     1800 |                      1800 |                       1800 |                       2059 |                       2060 |                        2061 |                         2061 |                       2214 |                       2216 |                        2216 |                         2216 |                     1800 |                     1800 |                      1801 |                       1800 |                       2059 |                       2060 |                        2060 |                         2061
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_1.in |                       1240 |                       1241 |                        1241 |                     1050 |                     1050 |                      1051 |                       1050 |                       1158 |                       1159 |                        1159 |                         1159 |                       1240 |                       1241 |                        1242 |                     1050 |                     1050 |                      1059 |                       1059 |                       1158 |                       1159 |                        1159 |                         1159 |                       1240 |                       1241 |                        1241 |                         1241 |                     1050 |                     1050 |                      1050 |                       1050 |                       1158 |                       1159 |                        1159 |                         1159 |                       1240 |                       1241 |                        1241 |                         1241 |                     1050 |                     1050 |                      1054 |                       1055 |                       1158 |                       1159 |                        1159 |                         1160
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_2.in |                        702 |                        702 |                         702 |                      603 |                      603 |                       605 |                        606 |                        656 |                        657 |                         658 |                          659 |                        702 |                        702 |                         702 |                      603 |                      603 |                       611 |                        611 |                        656 |                        657 |                         657 |                          658 |                        702 |                        702 |                         702 |                          702 |                      603 |                      603 |                       605 |                        604 |                        656 |                        657 |                         657 |                          657 |                        702 |                        702 |                         702 |                          702 |                      603 |                      603 |                       607 |                        609 |                        656 |                        657 |                         658 |                          662
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_3.in |                        378 |                        378 |                         378 |                      300 |                      300 |                       308 |                        312 |                        345 |                        346 |                         350 |                          352 |                        378 |                        378 |                         379 |                      300 |                      300 |                       314 |                        315 |                        345 |                        346 |                         349 |                          350 |                        378 |                        378 |                         378 |                          378 |                      300 |                      300 |                       305 |                        306 |                        345 |                        346 |                         352 |                          352 |                        378 |                        378 |                         378 |                          378 |                      300 |                      300 |                       307 |                        308 |                        345 |                        346 |                         346 |                          351
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_4.in |                        217 |                        217 |                         218 |                      155 |                      155 |                       170 |                        172 |                        198 |                        198 |                         204 |                          207 |                        217 |                        217 |                         218 |                      155 |                      155 |                       169 |                        170 |                        198 |                        198 |                         206 |                          205 |                        217 |                        217 |                         217 |                          217 |                      155 |                      155 |                       168 |                        168 |                        198 |                        198 |                         209 |                          210 |                        217 |                        217 |                         217 |                          217 |                      155 |                      155 |                       165 |                        166 |                        198 |                        198 |                         201 |                          205
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_5.in |                        143 |                        143 |                         154 |                       76 |                       76 |                       104 |                        105 |                        120 |                        120 |                         133 |                          136 |                        143 |                        143 |                         148 |                       76 |                       76 |                       104 |                        105 |                        120 |                        120 |                         132 |                          134 |                        143 |                        143 |                         143 |                          145 |                       76 |                       76 |                        96 |                         97 |                        120 |                        120 |                         134 |                          138 |                        143 |                        143 |                         143 |                          143 |                       76 |                       76 |                        94 |                         95 |                        120 |                        120 |                         130 |                          132
     result_SELECT_10_Z2LatticeGauge2D_PBC_0_0_6.in |                        113 |                        119 |                         155 |                       43 |                       57 |                        85 |                         87 |                         91 |                         98 |                         132 |                          134 |                        113 |                        119 |                         156 |                       43 |                       57 |                        92 |                         94 |                         91 |                         98 |                         129 |                          131 |                        113 |                        119 |                         132 |                          135 |                       43 |                       57 |                        71 |                         73 |                         91 |                         98 |                         124 |                          127 |                        113 |                        119 |                         125 |                          126 |                       43 |                       57 |                        72 |                         73 |                         91 |                         98 |                         119 |                          122
